R,F,M,C,cluster
12.0,2,85.96,0.0,1
15.23,2,55.98,0.0,1
13.53,2,64.98,0.0,1
12.3,2,47.68,0.0,1
12.57,3,68.62,0.0,1
10.83,2,42.03,0.0,1
10.37,3,282.97,0.0,1
13.73,2,103.98,0.10785255,1
13.43,2,311.96,0.0,1
8.37,2,28.98,0.0,1
16.23,2,314.98,0.0694483,1
15.17,2,212.76,0.0,1
12.27,2,30.16,0.0,1
8.5,2,59.98,0.0,1
13.3,2,73.94,0.0,1
9.53,2,27.98,0.0454841,1
13.1,2,37.95,0.0,1
16.73,2,52.68,0.0,1
15.43,2,89.98,0.0,1
14.53,2,56.63,0.0,1
9.6,3,88.69,0.0,1
13.7,2,31.98,0.0,1
9.03,2,268.85,0.0,1
14.3,2,48.97,0.0,1
11.67,2,45.98,0.0,1
